OCCUR_DATE,OCCUR_TIME,BORO,LOC_CLASSFCTN_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,VIC_AGE_GROUP,VIC_SEX,Low_income_Housing_Mean,Households_Receiving_Benefits_Mean,Poverty_Rate_Median,Income_Median
04/11/2013,01:30:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
09/12/2010,00:21:00,MANHATTAN,unknown,True,unknown,unknown,18-24,M,4036,699,0.144,45959
09/04/2016,21:40:00,MANHATTAN,unknown,False,unknown,unknown,25-44,M,4036,699,0.144,45959
10/19/2018,17:40:00,MANHATTAN,unknown,False,<18,M,18-24,M,4036,699,0.144,45959
06/22/2015,23:45:00,MANHATTAN,unknown,False,unknown,unknown,18-24,F,4036,699,0.144,45959
08/02/2009,01:44:00,MANHATTAN,unknown,False,<18,M,25-44,M,4036,699,0.144,45959
10/06/2019,21:54:00,MANHATTAN,unknown,False,45-64,M,25-44,M,4036,699,0.144,45959
11/05/2021,02:13:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
08/25/2018,00:09:00,MANHATTAN,unknown,True,unknown,unknown,18-24,M,4036,699,0.144,45959
05/11/2011,00:29:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
11/06/2008,20:20:00,BROOKLYN,unknown,False,unknown,M,25-44,M,2670,838,0.221,25924
03/06/2012,03:30:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
04/04/2019,21:10:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
10/07/2020,22:41:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
03/25/2011,02:41:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
09/22/2012,02:40:00,QUEENS,unknown,False,25-44,M,25-44,M,566,466,0.1965,28627
03/30/2016,23:32:00,MANHATTAN,unknown,False,18-24,M,<18,M,4036,699,0.144,45959
01/03/2021,10:10:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
06/17/2007,01:43:00,BRONX,unknown,False,unknown,M,25-44,M,2494,931,0.264,19487
09/13/2006,22:15:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
07/10/2011,03:11:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
12/22/2008,21:55:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
09/12/2011,22:18:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/02/2020,23:35:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
03/04/2012,17:40:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
01/10/2014,17:25:00,BRONX,unknown,False,25-44,M,25-44,F,2494,931,0.264,19487
12/20/2009,12:35:00,QUEENS,unknown,False,18-24,M,25-44,M,566,466,0.1965,28627
06/09/2021,04:57:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
12/03/2010,20:49:00,QUEENS,unknown,False,18-24,M,45-64,M,566,466,0.1965,28627
10/18/2008,12:04:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
08/31/2020,14:55:00,BRONX,unknown,False,45-64,M,25-44,M,2494,931,0.264,19487
10/31/2011,21:08:00,BRONX,unknown,False,18-24,M,25-44,M,2494,931,0.264,19487
07/26/2009,00:44:00,BROOKLYN,unknown,False,unknown,M,25-44,M,2670,838,0.221,25924
09/11/2011,17:34:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
12/22/2007,01:54:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
10/21/2020,22:18:00,BROOKLYN,unknown,False,unknown,unknown,25-44,F,2670,838,0.221,25924
07/07/2011,09:10:00,QUEENS,unknown,False,25-44,M,25-44,M,566,466,0.1965,28627
12/18/2020,21:03:00,QUEENS,unknown,False,25-44,M,45-64,M,566,466,0.1965,28627
10/20/2013,01:10:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
08/26/2015,22:15:00,BROOKLYN,unknown,True,<18,M,25-44,M,2670,838,0.221,25924
02/04/2013,14:40:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
07/24/2020,00:17:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
11/01/2020,13:08:00,MANHATTAN,unknown,False,unknown,unknown,18-24,F,4036,699,0.144,45959
12/07/2020,21:51:00,QUEENS,unknown,True,18-24,M,18-24,M,566,466,0.1965,28627
08/21/2020,01:15:00,BROOKLYN,unknown,False,unknown,unknown,18-24,F,2670,838,0.221,25924
06/19/2014,00:45:00,BRONX,unknown,True,25-44,M,18-24,M,2494,931,0.264,19487
01/29/2014,20:07:00,STATEN ISLAND,unknown,False,25-44,M,25-44,M,524,318,0.144,35413
08/24/2009,05:03:00,BRONX,unknown,True,25-44,M,65+,M,2494,931,0.264,19487
07/15/2018,12:00:00,QUEENS,unknown,True,18-24,M,25-44,M,566,466,0.1965,28627
03/19/2021,16:05:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
11/19/2011,18:00:00,BRONX,unknown,False,<18,F,<18,M,2494,931,0.264,19487
07/12/2014,12:56:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
12/27/2010,17:23:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
04/27/2009,20:32:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
09/20/2007,03:05:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
10/29/2017,22:50:00,MANHATTAN,unknown,True,25-44,M,25-44,M,4036,699,0.144,45959
12/02/2007,03:05:00,MANHATTAN,unknown,False,25-44,M,18-24,M,4036,699,0.144,45959
10/16/2013,21:36:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
07/16/2006,04:30:00,BROOKLYN,unknown,True,18-24,M,25-44,M,2670,838,0.221,25924
10/18/2014,22:20:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
02/16/2021,20:48:00,BRONX,unknown,True,45-64,M,25-44,M,2494,931,0.264,19487
10/27/2008,13:34:00,BROOKLYN,unknown,True,18-24,M,25-44,F,2670,838,0.221,25924
03/10/2012,20:30:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
08/07/2016,02:00:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
12/17/2011,01:33:00,MANHATTAN,unknown,False,25-44,M,25-44,M,4036,699,0.144,45959
10/03/2010,01:16:00,MANHATTAN,unknown,False,18-24,M,25-44,M,4036,699,0.144,45959
04/24/2016,20:40:00,MANHATTAN,unknown,False,unknown,unknown,18-24,M,4036,699,0.144,45959
07/27/2017,08:40:00,BRONX,unknown,False,65+,M,25-44,F,2494,931,0.264,19487
07/16/2018,21:37:00,BROOKLYN,unknown,False,unknown,unknown,25-44,F,2670,838,0.221,25924
07/24/2012,00:10:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
11/15/2011,17:56:00,BROOKLYN,unknown,False,<18,M,18-24,M,2670,838,0.221,25924
08/07/2007,00:17:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
01/17/2016,00:08:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
07/08/2009,13:34:00,BROOKLYN,unknown,False,unknown,M,25-44,M,2670,838,0.221,25924
08/27/2006,15:28:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
01/03/2021,19:00:00,QUEENS,unknown,False,unknown,unknown,18-24,F,566,466,0.1965,28627
08/22/2015,02:17:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
12/26/2021,04:07:00,BRONX,unknown,True,25-44,M,25-44,M,2494,931,0.264,19487
07/07/2012,04:30:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
07/11/2010,06:27:00,QUEENS,unknown,True,unknown,unknown,25-44,M,566,466,0.1965,28627
12/29/2008,11:34:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
05/04/2015,20:14:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
08/02/2016,01:08:00,BROOKLYN,unknown,True,unknown,unknown,18-24,F,2670,838,0.221,25924
07/11/2007,20:05:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
02/06/2011,16:37:00,BRONX,unknown,True,18-24,M,18-24,M,2494,931,0.264,19487
04/07/2010,02:11:00,MANHATTAN,unknown,False,25-44,M,18-24,M,4036,699,0.144,45959
12/02/2008,22:10:00,MANHATTAN,unknown,False,unknown,M,18-24,M,4036,699,0.144,45959
02/09/2013,23:57:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
02/01/2007,22:52:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
07/14/2021,19:45:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
05/26/2008,17:16:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
10/25/2009,02:10:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
07/03/2016,01:30:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
01/30/2008,14:21:00,BROOKLYN,unknown,False,25-44,M,25-44,F,2670,838,0.221,25924
01/09/2013,18:35:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
04/04/2021,21:05:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
07/22/2009,03:48:00,BRONX,unknown,False,unknown,M,18-24,M,2494,931,0.264,19487
10/28/2007,19:41:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
10/03/2014,04:08:00,BROOKLYN,unknown,False,25-44,M,45-64,M,2670,838,0.221,25924
08/03/2021,04:45:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/19/2007,23:50:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
12/02/2012,22:30:00,BRONX,unknown,False,45-64,M,18-24,M,2494,931,0.264,19487
09/02/2019,02:57:00,BROOKLYN,unknown,True,unknown,unknown,45-64,M,2670,838,0.221,25924
08/20/2014,00:44:00,BROOKLYN,unknown,True,18-24,M,25-44,M,2670,838,0.221,25924
10/08/2011,02:50:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
10/28/2006,02:35:00,MANHATTAN,unknown,False,25-44,M,<18,M,4036,699,0.144,45959
10/11/2021,21:54:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
04/28/2007,16:19:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
08/05/2019,01:52:00,BROOKLYN,unknown,False,unknown,unknown,45-64,F,2670,838,0.221,25924
